Salah or Messi? — If I speak I am in big big trouble. https://t.co/94Op2jugNb
"RT @InvictosSomos: EN MODO MESSI. Recibió, arrancó, se sacó de encima a 4 rivales y le regaló el gol a Bou | TREMENDO PAVÓN: https://t.co/6…"
"RT @LaLiga: Antes de que lo fueran Messi, Cristiano y Suárez... ¡ÉL fue el último máximo goleador de #LaLigaSantander (32 tantos - 2008/09)…"
"@Lukita_Moudrik @Net_FCBarcelona Messi vs Real Madrid, y si la jugada obviamente acabo en gol https://t.co/RhYkKoRP4t"
RT @FraanCarboneli7: Pavón se trajo los botines de Messi
"RT @SupremeMorata: “Messi has never scored against Chelsea”

Conte: “hold my beer”

“Spurs have never ever won at Stamford Bridge in the pr…"
"RT @barceIonaaa: And that, ladies and gentlemen, is when Messi knew exactly what he had to do... https://t.co/xfMH5YK5JZ"
RT @zeyadahmmed: Never celebrate in front of Leo Messi 😂😂 https://t.co/OkxdSDWfIA
"Se não fosse Lionel Messi, Argentina n estaria na Copa desse ano https://t.co/VuxJqK4uGs"
RT @AlvaroNua: Y dijo Herodes ; Cuando leo Messi sale de Nazareno. #GuasaGorda #GuasaCofrade https://t.co/9PUcLwMKhp
RT @InfosFuteboI: As maiores vítimas de Lionel Messi. https://t.co/qsiNWvFXZp
RT @ahoba_beca: messi é o melhor do mundo https://t.co/FEAAJWXqGd
"RT @CaracolDeportes: Messi debe ganar un Mundial para estar al nivel de Pelé y Maradona: Bilardo 

https://t.co/L7lAo9LTlx https://t.co/GAL…"
"RT @StegenismoFCB: ¿Cómo explicar esto con una sola palabra? 

- Messi https://t.co/hgaKdwJvWY"
RT @araiczyk: @TodaPasion Por “periodistas” como ustedes a la gente se le ocurre plantearse putear a Messi. “Messi le falló a la selección”…
RT @Jnnuzzy: Eu vivi pra ver o Messi jogar!!! Isso é o futebol!!! Messi é o futebol!!! Messi é gol!!! Messi é classe!! Messi é assistência!…
Messi e o melhor do mundo kkkkk
"RT @futebolmundo2: ""De vez em quando eu e Neymar falamos sobre Messi, ele diz que o ama e é muito grato por tudo que fez por ele.""

- Di Ma…"
"RT @rafa_sramos7: Don Martin Libermann:""En España y Argentina hay muchos feladores de Messi que dicen ser periodistas pero sólo son fanátic…"
"RT @oscarmartinezco: @As_TomasRoncero Roncero, se te ha borrado este tuit, por cierto, has encontrado a Messi ? https://t.co/kOXK270YIM"
"Del medio para adelante en Argentina para mi sería: 
Doble cinco con Marcone-Kranevitter, Pity por derecha, Pavón p… https://t.co/n7jq8N6zRb"
RT @luchio: dos partidos más del pity en este nivel y messi se va a ver el mundial al quincho de mascherano en nordelta.
"x: görkemcimm ben mi messi mi
ben: kendine hiç şans vermiyosun"
Messi a fait une saison à 50 buts en liga prenez du recul
RT @JavinhoFCB_: Me encanta Messi con el pelo no rapado + barba. Parece un maestro Jedi.
pity &gt; messi https://t.co/gwWrFpm1Mn
"to daqui da laje do asa, trocando várias idéias com o messi"
"RT @_ThousandN: Chi avrebbe mai pensato che con quel maledetto gol di Bertolacci nel 2012, che ci tolse il sonno per tre notti, il Lecce al…"
@TodaPasion Hay que ser pelotudo para comparar al pechofrio este con messi
"RT @YounggFranklin: @Shisuicides Messi has more goals AND accomplishments than Ronaldo and Ronaldo is older than Messi, Whatever Ronaldo is…"
"RT @ItsMrBlueGuy: Before Conte:

Tottenham had never won at Stamford Bridge in 28 years
Man Utd hadn't won vs Chelsea in 13 matches (5 year…"
"RT @SiLaPicasSosCra: 🇮🇹 Messi es el mejor de la historia
🇩🇪 Messi es el mejor de la historia
🇬🇧 Messi es el mejor de la historia
🇧🇪 Messi e…"
"RT @la_colchoneria: Simeone: ""Estamos haciendo una Liga muy importante. Ustedes vieron 60 minutos del Barça sin Messi y luego con él. Lo de…"
Messi très fort 26 buts alors qu'il a un grand buteur dans son équipe qui est à 22 buts et en faisant tout le jeu d… https://t.co/oNUbSZ9VtF
@Bianca_cost123 pra bianca so existe o messi
"RT @VarskySports: Pavón, en modo Messi, dejando cuatro rivales en el camino, sobre la raya, con pierna cambiada. Merecía terminar en gol. h…"
"RT @UNIVERSO_1899: ""No lo celebres mucho rato... hazme caso"".

-Messi, 2018 https://t.co/Xf7NonzelI"
"RT @halilovic_aly: Trois raison pour Lesquelles les gens détestent Messi:

- Il ne joue pas dans votre équipe
- Il a humilié votre équipe
-…"
"RT @FichajeGoleador: Fue a un costado, apiló a 3 jugadores de Talleres, corrió, pasó a otro y asiste a Bou, para el GOL de Boca Juniors. QU…"
"RT @FCBarcelona: 👥 Substitutes: 
13. Cillessen
2. N. Semedo
6. Denis Suárez
10. Messi
17. Paco Alcácer
21. André Gomes
25. Vermaelen
🔵🔴 #Se…"
"Bilardo: ""Messi tiene que ganar un Mundial para estar al nivel de Pelé y Maradona"": El entrenador campeón del mundo… https://t.co/vp9cUhe6JX"
@Remy_crown @anjpexy @uthman_waxcav @__bukola My point is he is a good player but he was also part of a good team.… https://t.co/jqTr0eKFk7
RT @cristobalsoria: Cuando tu equipo va ganando y ves que va a salir a jugar Leo Messi... https://t.co/LanCsgQSDm
"No puedo creer la gente que puede odiar a Messi, que ganas que tengo de verte Lionel 🇦🇷"
Parece que aprendió algo de Messi Pavón
"RT @crisstianrnr: Arriba Pavón, Lautaro, Messi y Centurión y nos volvemos de Rusia con la copa del mundo."
"@arevalo_martin @BocaJrsOficial like messi? you are idiot, martin?"
"@TyCSports Se lesionan Di Maria y Aguero,Messi viene lesionado para ese partido, te lo firmo yaaaaaa"
RT @fptoscos: ¿Quién es/fue más influyente e imprescindible en su club? RT Messi en el Barcelona. MG Maradona en el Napoli https://t.co/piE…
@Domingortiz @Jonhy_777 Si el atleti cambia a griezmann por rodrigo seria un paso muy muy atrás en la planificación… https://t.co/CZHzOqdteM
"RT @FarisAdriano: لا تأمن الفوز على برشلونه حتى يصفر الحكم ..

لانك انت تواجه الافضل في التاريخ ميسي ..

من يحط الامل في ميسي صعب جداً يخيب…"
"RT @Footballogue: [#Liga🇪🇸] Buteurs:

1️⃣ Messi 🇦🇷 26 ⚽️
2️⃣ Cristiano 🇵🇹 22 ⚽️
2️⃣ Suarez 🇺🇾 22 ⚽️
4️⃣ Griezmann 🇫🇷 17 ⚽️
4️⃣ Stuani 🇺🇾 17…"
@Elblaugrana10 @reacrachid @ahmdeouahbi @JenniBns @marceltolede @tinord59 @Maroqunhos1 @tato7719 @AsrafNath… https://t.co/uKCfulHfRJ
"RT @_SentimentCule: Por cierto, el gol de Messi me ha traído buenos recuerdos 😏 https://t.co/0qDXxjI2Tk"
"Chose à ne jamais faire 
#Messi https://t.co/xY2QJfHEAI"
@Roemeister86 @BBCMOTD The Leo Messi of the English second tier without a doubt
"RT @Jhonatan_R: Ronaldinho y Zlatan son lo mejor que le ha pasado al fútbol, verdaderos dioses que lo dominaron a su antojo. Luego están Me…"
"RT @serpico_91: ¿Cuántos ""Admite que Messi es el mejor de la historia"" tenéis que aguantar en vuestro entorno? Yo un par de ellos diarios.…"
